name_fa,name_en,category,difficulty,is_all_ages,is_active,internal_note
فرودگاه,Airport,travel,easy,true,true,
ایستگاه قطار,Train Station,travel,easy,true,true,
ترمینال اتوبوس,Bus Terminal,travel,easy,true,true,
ایستگاه مترو,Subway Station,urban,easy,true,true,
بندر,Harbor,travel,easy,true,true,
فانوس دریایی,Lighthouse,travel,medium,true,true,
کشتی تفریحی,Cruise Ship,travel,medium,true,true,
هتل,Hotel,travel,easy,true,true,
مسافرخانه,Guesthouse,travel,medium,true,true,
اردوگاه,Campsite,travel,easy,true,true,
بیمارستان,Hospital,urban,easy,true,true,
درمانگاه,Clinic,urban,easy,true,true,
داروخانه,Pharmacy,urban,easy,true,true,
آزمایشگاه,Laboratory,job,medium,true,true,
اتاق عمل,Operating Room,job,medium,true,true,
دندانپزشکی,Dental Office,job,easy,true,true,
دامپزشکی,Veterinary Clinic,job,medium,true,true,
مدرسه,School,urban,easy,true,true,
دانشگاه,University,urban,easy,true,true,
مهدکودک,Kindergarten,urban,easy,true,true,
کتابخانه,Library,urban,easy,true,true,
آزمایشگاه مدرسه,School Laboratory,job,medium,true,true,
خوابگاه دانشجویی,Student Dormitory,urban,medium,true,true,
موزه,Museum,leisure,easy,true,true,
گالری هنری,Art Gallery,leisure,medium,true,true,
سینما,Cinema,leisure,easy,true,true,
تئاتر,Theater,leisure,easy,true,true,
سالن کنسرت,Concert Hall,leisure,medium,true,true,
پارک,Park,leisure,easy,true,true,
باغ‌وحش,Zoo,leisure,easy,true,true,
آکواریوم,Aquarium,leisure,easy,true,true,
شهربازی,Amusement Park,leisure,easy,true,true,
سیرک,Circus,leisure,medium,true,true,
استادیوم,Stadium,leisure,easy,true,true,
باشگاه ورزشی,Gym,leisure,easy,true,true,
استخر,Swimming Pool,leisure,easy,true,true,
پیست اسکی,Ski Resort,leisure,medium,true,true,
پیست مسابقه,Racetrack,leisure,medium,true,true,
زمین گلف,Golf Course,leisure,medium,true,true,
سالن بولینگ,Bowling Alley,leisure,easy,true,true,
بانک,Bank,urban,easy,true,true,
اداره پست,Post Office,urban,easy,true,true,
شهرداری,City Hall,urban,medium,true,true,
دادگاه,Courthouse,urban,medium,true,true,
کلانتری,Police Station,urban,easy,true,true,
آتش‌نشانی,Fire Station,urban,easy,true,true,
زندان,Prison,urban,medium,true,true,
سفارت,Embassy,urban,medium,true,true,
پارلمان,Parliament,urban,hard,true,true,
مرکز رأی‌گیری,Polling Station,urban,medium,true,true,
سوپرمارکت,Supermarket,urban,easy,true,true,
مرکز خرید,Shopping Mall,urban,easy,true,true,
بازار سنتی,Traditional Bazaar,urban,easy,true,true,
نانوایی,Bakery,urban,easy,true,true,
قصابی,Butcher Shop,urban,easy,true,true,
قنادی,Pastry Shop,urban,easy,true,true,
کافی‌شاپ,Coffee Shop,urban,easy,true,true,
آرایشگاه,Hair Salon,urban,easy,true,true,
خشکشویی,Dry Cleaner,urban,medium,true,true,
تعمیرگاه خودرو,Auto Repair Shop,job,easy,true,true,
پمپ بنزین,Gas Station,urban,easy,true,true,
کارواش,Car Wash,urban,easy,true,true,
کارخانه,Factory,job,easy,true,true,
کارگاه نجاری,Carpentry Workshop,job,medium,true,true,
کارگاه سفالگری,Pottery Workshop,job,medium,true,true,
معدن,Mine,job,medium,true,true,
نیروگاه,Power Plant,job,hard,true,true,
پالایشگاه,Oil Refinery,job,hard,true,true,
ساختمان در حال ساخت,Construction Site,job,medium,true,true,
مزرعه,Farm,job,easy,true,true,
گلخانه,Greenhouse,job,easy,true,true,
دامداری,Cattle Ranch,job,medium,true,true,
استودیو تلویزیونی,Television Studio,job,medium,true,true,
ایستگاه رادیویی,Radio Station,job,medium,true,true,
دفتر روزنامه,Newspaper Office,job,medium,true,true,
استودیوی عکاسی,Photography Studio,job,easy,true,true,
دفتر وکالت,Law Office,job,medium,true,true,
دفتر معماری,Architecture Office,job,medium,true,true,
مرکز تماس,Call Center,job,medium,true,true,
انبار,Warehouse,job,easy,true,true,
کاخ,Palace,general,easy,true,true,
قلعه,Castle,general,easy,true,true,
برج مراقبت,Watchtower,general,medium,true,true,
پناهگاه زیرزمینی,Underground Shelter,general,hard,true,true,
غار,Cave,general,easy,true,true,
جنگل,Forest,general,easy,true,true,
کویر,Desert,general,easy,true,true,
جزیره متروکه,Deserted Island,general,medium,true,true,
قله کوه,Mountain Peak,general,medium,true,true,
آبشار,Waterfall,general,easy,true,true,
رصدخانه,Observatory,general,medium,true,true,
ایستگاه فضایی,Space Station,general,easy,true,true,
پایگاه قطبی,Polar Research Base,general,hard,true,true,
زیردریایی,Submarine,general,medium,true,true,
هواپیمای مسافربری,Passenger Airplane,travel,easy,true,true,
بالگرد امداد,Rescue Helicopter,travel,medium,true,true,
خانه سالمندان,Nursing Home,urban,medium,true,true,
یتیم‌خانه,Orphanage,urban,medium,true,true,
تالار عروسی,Wedding Hall,leisure,easy,true,true,
مرکز همایش,Convention Center,urban,medium,true,true,
